id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err
Auto_025,3144.03,732.97,3144.12,732.89,,,,,22712.0,258662.000,340265.710,559.343,608.33,-13.830,0.002,9.569,0.002
Auto_026,903.24,3868.02,903.24,3868.01,,,,,30616.0,253102.000,303576.894,536.989,565.33,-13.706,0.002,9.693,0.002
Auto_027,2932.02,1664.19,2932.15,1664.17,,,,,21040.0,251617.000,328694.041,549.950,597.68,-13.792,0.002,9.607,0.002
Auto_028,1016.80,2453.49,1016.80,2453.46,,,,,22892.0,232492.000,283093.227,513.219,551.60,-13.630,0.002,9.769,0.002
Auto_029,3968.43,4153.43,3968.52,4153.48,,,,,22958.0,228707.000,307793.613,533.077,577.39,-13.721,0.002,9.678,0.002
Auto_030,1724.57,2121.12,1724.63,2121.12,,,,,20420.0,210606.000,258845.290,494.019,523.96,-13.533,0.002,9.866,0.002
Auto_031,5658.82,1977.53,5658.92,1977.48,,,,,17701.0,209467.000,310465.872,537.598,577.51,-13.730,0.002,9.669,0.002
Auto_032,5250.97,2098.01,5251.17,2098.01,,,,,17942.0,206359.000,279096.394,512.562,544.51,-13.614,0.002,9.785,0.002
Auto_033,5885.49,317.25,5885.63,317.16,,,,,17808.0,200689.000,282130.809,519.027,543.58,-13.626,0.002,9.773,0.002
Auto_034,4133.50,679.33,4133.66,679.22,,,,,15944.0,193149.000,272551.095,508.168,536.34,-13.589,0.002,9.810,0.002
Auto_035,1777.92,2845.78,1777.94,2845.79,,,,,19526.0,191597.000,232557.050,472.256,492.44,-13.416,0.002,9.983,0.002
Auto_036,3336.35,2611.45,3336.47,2611.44,,,,,16408.0,189230.000,256045.121,492.678,519.70,-13.521,0.002,9.878,0.002
Auto_037,4947.07,204.09,4947.23,203.94,,,,,14949.0,187403.000,262087.613,501.505,522.60,-13.546,0.002,9.853,0.002
Auto_038,3360.92,226.89,3360.99,226.76,,,,,15817.0,184629.000,246800.691,485.756,508.08,-13.481,0.002,9.918,0.002
Auto_039,3056.16,1413.23,3056.30,1413.20,,,,,15284.0,180380.000,238305.845,477.141,499.45,-13.443,0.002,9.956,0.002
Auto_040,46.23,3834.55,46.14,3834.51,,,,,17707.0,174786.000,214538.503,457.085,469.36,-13.329,0.002,10.070,0.002
Auto_041,5722.45,3773.30,5722.65,3773.40,,,,,17390.0,169986.000,240256.401,482.008,498.45,-13.452,0.002,9.947,0.002
Auto_042,4201.46,3207.10,4201.58,3207.30,,,,,13230.0,163063.000,240783.856,480.485,501.13,-13.454,0.002,9.945,0.002
Auto_043,3490.55,3200.34,3490.62,3200.36,,,,,14207.0,151319.000,203624.516,445.721,456.84,-13.272,0.002,10.127,0.002
Auto_044,4188.27,2606.08,4188.43,2606.10,,,,,13881.0,150477.000,203177.315,446.551,454.99,-13.270,0.002,10.129,0.002
Auto_045,1710.31,687.46,1710.37,687.40,,,,,12218.0,140375.000,177053.099,420.631,420.92,-13.120,0.003,10.279,0.003
Auto_046,5375.13,2784.86,5375.30,2784.90,,,,,12664.0,137877.000,185511.697,431.941,429.48,-13.171,0.003,10.228,0.003
Auto_047,6165.28,4123.17,6165.43,4123.26,,,,,14192.0,136425.000,184174.239,430.732,427.58,-13.163,0.003,10.236,0.003
Auto_048,2894.47,1475.41,2894.60,1475.37,,,,,11072.0,132194.000,179405.032,423.414,423.71,-13.135,0.003,10.264,0.003
Auto_049,213.14,983.68,213.11,983.68,,,,,13460.0,125141.000,150764.754,395.751,380.96,-12.946,0.003,10.453,0.003
Auto_050,413.90,2340.86,413.90,2340.85,,,,,14160.0,122861.000,146244.457,390.220,374.77,-12.913,0.003,10.486,0.003
Auto_051,6140.45,3612.80,6140.60,3612.89,,,,,11371.0,119461.000,164975.526,411.912,400.51,-13.044,0.003,10.355,0.003
Auto_052,3911.31,3139.71,3911.50,3139.84,,,,,9830.0,115244.000,160063.158,405.056,395.16,-13.011,0.003,10.388,0.003
Auto_053,5270.29,3523.88,5270.44,3523.93,,,,,10956.0,113838.000,153081.035,399.413,383.26,-12.962,0.003,10.437,0.003
Auto_054,3819.65,2789.39,3819.74,2789.39,,,,,9558.0,107703.000,149864.216,394.031,380.34,-12.939,0.003,10.460,0.003
Auto_055,1986.08,1958.82,1986.12,1958.81,,,,,10289.0,107702.000,134150.547,377.160,355.69,-12.819,0.003,10.580,0.003
Auto_056,6229.84,3813.24,6229.92,3813.36,,,,,10573.0,106129.000,154395.398,404.771,381.44,-12.972,0.003,10.427,0.003
Auto_057,6088.35,1640.61,6088.55,1640.60,,,,,9504.0,102440.000,146130.618,392.409,372.39,-12.912,0.003,10.487,0.003
Auto_058,2023.29,4080.86,2023.31,4080.86,,,,,10483.0,99043.000,121199.261,362.754,334.11,-12.709,0.003,10.690,0.003
Auto_059,951.77,659.03,951.77,658.98,,,,,10088.0,98031.000,119814.641,361.687,331.27,-12.696,0.003,10.703,0.003
Auto_060,5360.46,856.91,5360.64,856.83,,,,,8992.0,97188.000,139119.557,386.584,359.87,-12.858,0.003,10.541,0.003
Auto_061,1497.85,4019.35,1497.82,4019.38,,,,,10751.0,95774.000,116628.703,357.560,326.18,-12.667,0.003,10.732,0.003
Auto_062,3515.54,988.86,3515.64,988.82,,,,,8433.0,94377.000,131260.545,375.096,349.94,-12.795,0.003,10.604,0.003
Auto_063,3084.85,1961.65,3084.98,1961.65,,,,,6852.0,90153.000,119066.974,360.228,330.53,-12.689,0.003,10.710,0.003
Auto_064,471.34,2376.09,471.33,2376.09,,,,,10345.0,89905.000,107499.930,347.264,309.56,-12.579,0.004,10.820,0.004
Auto_065,2905.84,1402.15,2905.97,1402.11,,,,,7217.0,89663.000,115761.640,356.783,324.46,-12.659,0.003,10.740,0.003
Auto_066,2915.56,2209.63,2915.65,2209.56,,,,,7370.0,88487.000,121945.369,363.541,335.44,-12.715,0.003,10.684,0.003
Auto_067,5107.67,3652.14,5107.78,3652.22,,,,,8370.0,85532.000,119923.798,363.845,329.60,-12.697,0.003,10.702,0.003
Auto_068,5129.56,1222.45,5129.73,1222.42,,,,,7449.0,84191.000,125764.924,368.938,340.88,-12.749,0.003,10.650,0.003
Auto_069,1652.81,3570.94,1652.82,3570.97,,,,,9216.0,83830.000,101039.801,340.647,296.61,-12.511,0.004,10.888,0.004
Auto_070,673.14,2115.58,673.14,2115.62,,,,,7681.0,83464.000,102430.409,341.789,299.69,-12.526,0.004,10.873,0.004
Auto_071,369.87,733.09,369.87,733.07,,,,,8962.0,81673.000,97768.729,335.537,291.38,-12.475,0.004,10.924,0.004
Auto_072,1595.16,3760.41,1595.13,3760.41,,,,,8635.0,80596.000,98723.777,337.016,292.94,-12.486,0.004,10.913,0.004
Auto_073,1681.58,3728.87,1681.62,3728.90,,,,,8286.0,80341.000,97572.363,336.064,290.34,-12.473,0.004,10.926,0.004
Auto_074,1080.97,1502.45,1081.01,1502.41,,,,,7436.0,79597.000,96830.251,334.480,289.49,-12.465,0.004,10.934,0.004
Auto_075,5179.06,3356.68,5179.20,3356.74,,,,,7028.0,78893.000,104382.502,345.869,301.80,-12.547,0.004,10.852,0.004
Auto_076,5014.29,3482.35,5014.45,3482.41,,,,,7546.0,78463.000,107448.497,349.933,307.05,-12.578,0.004,10.821,0.004
Auto_077,1166.27,1565.02,1166.28,1565.02,,,,,7705.0,74052.000,90189.902,326.842,275.94,-12.388,0.004,11.011,0.004
Auto_078,3869.05,297.05,3869.16,296.93,,,,,6185.0,72514.000,97453.826,336.603,289.52,-12.472,0.004,10.927,0.004
Auto_079,1343.18,1257.51,1343.16,1257.52,,,,,6560.0,71205.000,89166.085,324.914,274.43,-12.375,0.004,11.024,0.004
Auto_080,3755.22,1306.51,3755.39,1306.43,,,,,5829.0,70442.000,95826.006,333.732,287.13,-12.454,0.004,10.945,0.004
Auto_081,1173.27,456.69,1173.26,456.65,,,,,6258.0,69923.000,89976.688,326.984,275.17,-12.385,0.004,11.014,0.004
Auto_082,5598.90,2118.79,5598.96,2118.79,,,,,6218.0,69072.000,101782.695,343.144,296.62,-12.519,0.004,10.880,0.004
Auto_083,1048.16,1634.18,1048.19,1634.18,,,,,7200.0,68858.000,83436.030,318.406,262.04,-12.303,0.004,11.096,0.004
Auto_084,313.42,1029.14,313.42,1029.16,,,,,7315.0,68137.000,82199.391,316.791,259.48,-12.287,0.004,11.112,0.004
Auto_085,1461.49,1340.25,1461.51,1340.26,,,,,6108.0,64504.000,80921.216,315.249,256.69,-12.270,0.004,11.129,0.004
Auto_086,4889.97,511.10,4890.14,510.98,,,,,5397.0,64359.000,87660.454,326.214,268.72,-12.357,0.004,11.042,0.004
Auto_087,5957.72,2201.07,5957.87,2201.09,,,,,6026.0,62790.000,91176.175,329.022,277.11,-12.400,0.004,10.999,0.004
Auto_088,3347.72,3625.68,3347.80,3625.73,,,,,5439.0,62410.000,78247.894,312.272,250.58,-12.234,0.004,11.165,0.004
Auto_089,3628.27,2016.63,3628.41,2016.65,,,,,5189.0,61295.000,83546.579,319.073,261.84,-12.305,0.004,11.094,0.004
Auto_090,4701.46,1930.46,4701.65,1930.43,,,,,5274.0,60304.000,85569.799,322.246,265.54,-12.331,0.004,11.068,0.004
Auto_091,3843.94,2071.99,3844.09,2072.00,,,,,4820.0,59264.000,78264.140,312.229,250.66,-12.234,0.004,11.165,0.004
Auto_092,3757.02,3922.42,3757.11,3922.46,,,,,5786.0,58838.000,76553.929,310.143,246.83,-12.210,0.004,11.189,0.004
Auto_093,2693.14,78.78,2693.16,78.68,,,,,5397.0,58822.000,77544.629,311.235,249.15,-12.224,0.004,11.175,0.004
Auto_094,1441.20,2576.85,1441.22,2576.85,,,,,6108.0,56993.000,68871.229,299.074,230.28,-12.095,0.005,11.304,0.005
Auto_095,1714.82,2342.81,1714.85,2342.80,,,,,5688.0,56600.000,69055.719,299.346,230.69,-12.098,0.005,11.301,0.005
Auto_096,4272.07,3368.31,4272.20,3368.36,,,,,5386.0,56370.000,74698.392,307.444,242.97,-12.183,0.004,11.216,0.004
Auto_097,3682.06,3503.71,3682.15,3503.76,,,,,5161.0,55697.000,71117.522,302.638,234.99,-12.130,0.005,11.269,0.005
Auto_098,5076.65,563.76,5076.80,563.65,,,,,4964.0,55671.000,82773.727,319.224,259.30,-12.295,0.004,11.104,0.004
Auto_099,6135.33,4054.65,6135.44,4054.75,,,,,5165.0,55667.000,74605.578,310.920,239.95,-12.182,0.005,11.217,0.005
Auto_100,4508.83,211.20,4508.98,211.05,,,,,4352.0,55106.000,74165.416,308.291,240.57,-12.176,0.005,11.223,0.005
Auto_101,4822.88,1903.99,4823.06,1903.97,,,,,4594.0,54533.000,73045.591,305.908,238.78,-12.159,0.005,11.240,0.005
Auto_102,5963.12,2472.09,5963.32,2472.13,,,,,5206.0,54464.000,74081.736,308.818,239.89,-12.174,0.005,11.225,0.005
Auto_103,4627.84,3811.19,4627.98,3811.24,,,,,5044.0,53631.000,69626.259,303.910,229.10,-12.107,0.005,11.292,0.005
Auto_104,4054.01,269.31,4054.11,269.22,,,,,4487.0,53271.000,76599.976,311.086,246.23,-12.211,0.004,11.188,0.004
Auto_105,1842.86,2103.65,1842.89,2103.64,,,,,4995.0,53012.000,65710.888,294.511,223.12,-12.044,0.005,11.355,0.005
Auto_106,5343.84,1477.87,5343.95,1477.84,,,,,4751.0,52979.000,78600.192,314.057,250.27,-12.239,0.004,11.160,0.004
Auto_107,1338.53,1135.00,1338.57,1134.95,,,,,5189.0,52751.000,65459.505,294.824,222.03,-12.040,0.005,11.359,0.005
Auto_108,603.89,2050.28,603.91,2050.28,,,,,5536.0,52581.000,63159.260,291.454,216.70,-12.001,0.005,11.398,0.005
Auto_109,2135.45,877.51,2135.53,877.44,,,,,4389.0,52338.000,69057.731,299.806,230.34,-12.098,0.005,11.301,0.005
Auto_110,1386.92,2975.67,1386.77,2975.41,,,,,5272.0,52285.000,79215.491,313.925,252.34,-12.247,0.004,11.152,0.004
Auto_111,5690.05,2624.97,5690.22,2625.00,,,,,4844.0,52092.000,69739.945,302.967,230.19,-12.109,0.005,11.290,0.005
Auto_112,1574.21,154.81,1574.19,154.76,,,,,5099.0,51990.000,65268.110,295.002,221.25,-12.037,0.005,11.362,0.005
Auto_113,4460.39,1261.39,4460.59,1261.32,,,,,4352.0,51280.000,71956.593,305.104,235.84,-12.143,0.005,11.256,0.005
Auto_114,4932.27,634.96,4932.46,634.85,,,,,4505.0,50160.000,70354.635,303.643,231.70,-12.118,0.005,11.281,0.005
Auto_115,1765.65,2639.17,1765.71,2639.18,,,,,4816.0,49987.000,62304.752,290.209,214.69,-11.986,0.005,11.413,0.005
Auto_116,3920.97,418.90,3921.08,418.78,,,,,4298.0,49940.000,67461.023,299.104,225.54,-12.073,0.005,11.326,0.005
Auto_117,2906.90,1922.93,2907.02,1922.92,,,,,3937.0,49699.000,64676.031,293.468,220.39,-12.027,0.005,11.372,0.005
Auto_118,2902.77,1839.56,2902.83,1839.58,,,,,4046.0,49212.000,69973.688,301.043,232.44,-12.112,0.005,11.287,0.005
Auto_119,2991.90,1046.39,2991.98,1046.36,,,,,3914.0,49015.000,66578.509,296.939,224.22,-12.058,0.005,11.341,0.005
Auto_120,1678.69,3998.87,1678.71,3998.90,,,,,5252.0,48840.000,59003.380,285.574,206.61,-11.927,0.005,11.472,0.005
Auto_121,595.60,2202.65,595.62,2202.65,,,,,5015.0,48681.000,59443.436,287.474,206.78,-11.935,0.005,11.464,0.005
Auto_122,20.57,1173.71,20.56,1173.68,,,,,5320.0,48613.000,59675.742,286.988,207.94,-11.939,0.005,11.460,0.005
Auto_123,2785.63,1459.52,2785.69,1459.53,,,,,4106.0,48402.000,67478.289,297.496,226.82,-12.073,0.005,11.326,0.005
Auto_124,1615.26,3741.00,1615.26,3741.00,,,,,5485.0,48290.000,58489.071,285.224,205.06,-11.918,0.005,11.481,0.005
Auto_125,3899.44,1081.99,3899.58,1081.95,,,,,4326.0,48266.000,66795.721,298.153,224.03,-12.062,0.005,11.337,0.005
Auto_126,2091.16,1248.17,2091.23,1248.14,,,,,4316.0,47091.000,59521.467,287.190,207.25,-11.937,0.005,11.462,0.005
Auto_127,5237.10,3379.61,5237.27,3379.61,,,,,4211.0,46739.000,63928.305,293.744,217.63,-12.014,0.005,11.385,0.005
Auto_128,512.25,3126.91,512.25,3126.90,,,,,5288.0,45180.000,53619.800,278.100,192.81,-11.823,0.006,11.576,0.006
Auto_129,382.54,2191.78,382.57,2191.77,,,,,4845.0,45144.000,54802.580,279.608,196.00,-11.847,0.006,11.552,0.006
Auto_130,2764.85,803.73,2764.90,803.64,,,,,3708.0,43363.000,56766.755,283.043,200.56,-11.885,0.005,11.514,0.005
Auto_131,3850.28,3654.31,3850.39,3654.37,,,,,4284.0,43043.000,56739.542,283.419,200.20,-11.885,0.005,11.514,0.005
Auto_132,4923.02,1884.51,4923.18,1884.53,,,,,3581.0,42979.000,59214.538,287.158,206.21,-11.931,0.005,11.468,0.005
Auto_133,3596.49,2804.96,3596.59,2804.98,,,,,3951.0,42548.000,56975.938,283.400,201.04,-11.889,0.005,11.510,0.005
Auto_134,701.73,262.20,701.75,262.14,,,,,4187.0,41563.000,50439.608,273.243,184.60,-11.757,0.006,11.642,0.006
Auto_135,5642.76,325.57,5642.85,325.47,,,,,3727.0,41420.000,62565.998,293.085,213.47,-11.991,0.005,11.408,0.005
Auto_136,517.43,2538.57,517.48,2538.53,,,,,3962.0,40868.000,50563.017,273.480,184.89,-11.760,0.006,11.639,0.006
Auto_137,3602.19,1958.13,3602.34,1958.14,,,,,3466.0,40424.000,54105.954,279.906,193.30,-11.833,0.006,11.566,0.006
Auto_138,2041.46,3265.62,2041.46,3265.57,,,,,3778.0,40145.000,51475.034,275.006,187.18,-11.779,0.006,11.620,0.006
Auto_139,575.55,2295.11,575.58,2295.12,,,,,4413.0,39751.000,48119.587,269.672,178.44,-11.706,0.006,11.693,0.006
Auto_140,4212.96,3066.14,4213.09,3066.18,,,,,3528.0,38993.000,51083.133,275.253,185.59,-11.771,0.006,11.628,0.006
Auto_141,1439.87,3776.52,1439.83,3776.52,,,,,4134.0,38502.000,47456.496,268.428,176.79,-11.691,0.006,11.708,0.006
Auto_142,620.75,2736.60,620.77,2736.62,,,,,3839.0,36851.000,44359.364,264.018,168.02,-11.617,0.006,11.782,0.006
Auto_143,2316.95,934.65,2316.99,934.59,,,,,3216.0,36641.000,47634.814,269.175,176.97,-11.695,0.006,11.704,0.006
Auto_144,5197.99,2294.59,5198.16,2294.62,,,,,3010.0,35768.000,48515.275,272.279,178.18,-11.715,0.006,11.684,0.006
Auto_145,5939.18,1422.89,5939.37,1422.85,,,,,3337.0,35689.000,49203.267,274.063,179.53,-11.730,0.006,11.669,0.006
Auto_146,931.02,762.96,931.02,762.93,,,,,3747.0,35464.000,43063.690,262.525,164.04,-11.585,0.007,11.814,0.007
Auto_147,3840.48,3772.61,3840.57,3772.61,,,,,3392.0,35414.000,48304.572,271.058,178.21,-11.710,0.006,11.689,0.006
Auto_148,4822.22,2311.00,4822.41,2311.02,,,,,3243.0,35307.000,47936.777,271.022,176.87,-11.702,0.006,11.697,0.006
Auto_149,3541.49,505.60,3541.55,505.51,,,,,3094.0,35056.000,49702.272,273.043,182.03,-11.741,0.006,11.658,0.006
Auto_150,37.78,2158.81,37.78,2158.81,,,,,3971.0,34685.000,41702.376,261.487,159.48,-11.550,0.007,11.849,0.007
Auto_151,3921.52,2859.33,3921.63,2859.35,,,,,3169.0,34295.000,47045.267,268.658,175.11,-11.681,0.006,11.718,0.006
Auto_152,1061.49,834.09,1061.48,834.11,,,,,3326.0,33658.000,41834.109,260.595,160.53,-11.554,0.007,11.845,0.007
Auto_153,3909.75,1148.64,3909.88,1148.56,,,,,2740.0,33608.000,45372.794,266.506,170.25,-11.642,0.006,11.757,0.006
Auto_154,3444.54,2206.64,3444.66,2206.67,,,,,2807.0,33493.000,46617.978,267.965,173.97,-11.671,0.006,11.728,0.006
Auto_155,371.52,3274.82,371.55,3274.84,,,,,3718.0,33111.000,39917.326,258.321,154.53,-11.503,0.007,11.896,0.007
Auto_156,4516.31,1015.96,4516.49,1015.89,,,,,2955.0,33059.000,46056.291,268.280,171.67,-11.658,0.006,11.741,0.006
Auto_157,3675.16,2359.86,3675.30,2359.87,,,,,2820.0,32905.000,43766.328,263.546,166.07,-11.603,0.007,11.796,0.007
Auto_158,4753.52,1983.70,4753.64,1983.70,,,,,2900.0,32769.000,48090.328,271.855,176.90,-11.705,0.006,11.694,0.006
Auto_159,2657.71,3219.00,2657.79,3219.03,,,,,3028.0,32306.000,40311.274,258.469,155.96,-11.514,0.007,11.885,0.007
Auto_160,5847.64,1456.52,5847.80,1456.44,,,,,2729.0,32303.000,46703.617,269.797,173.11,-11.673,0.006,11.726,0.006
Auto_161,6198.29,1234.12,6198.48,1234.08,,,,,2974.0,31495.000,43381.342,264.804,163.82,-11.593,0.007,11.806,0.007
Auto_162,2653.10,2262.85,2653.20,2262.86,,,,,2743.0,31345.000,40568.139,258.490,156.94,-11.520,0.007,11.879,0.007
Auto_163,6118.44,2169.56,6118.63,2169.60,,,,,2785.0,31013.000,44171.634,265.735,166.22,-11.613,0.007,11.786,0.007
Auto_164,2556.87,2600.64,2556.97,2600.58,,,,,2606.0,30748.000,39775.982,257.056,154.74,-11.499,0.007,11.900,0.007
Auto_165,656.91,362.12,656.92,362.09,,,,,3249.0,30674.000,37079.418,253.337,146.36,-11.423,0.007,11.976,0.007
Auto_166,2181.73,3257.26,2181.76,3257.28,,,,,3052.0,30277.000,37588.336,253.683,148.17,-11.438,0.007,11.961,0.007
Auto_167,4647.74,1722.70,4647.86,1722.69,,,,,2676.0,30273.000,44111.142,265.540,166.12,-11.611,0.007,11.788,0.007
Auto_168,815.85,3491.28,815.82,3491.31,,,,,3474.0,29719.000,35967.878,251.336,143.11,-11.390,0.008,12.009,0.008
Auto_169,4671.43,2035.62,4671.60,2035.64,,,,,2679.0,29657.000,41748.721,262.353,159.13,-11.552,0.007,11.847,0.007
Auto_170,1213.85,3463.77,1213.87,3463.78,,,,,3207.0,29381.000,35245.911,249.823,141.08,-11.368,0.008,12.031,0.008
Auto_171,1931.69,1608.49,1931.73,1608.49,,,,,2556.0,29124.000,37180.489,253.636,146.59,-11.426,0.007,11.973,0.007
Auto_172,3419.44,2178.74,3419.59,2178.76,,,,,2443.0,28478.000,39101.980,257.031,152.13,-11.480,0.007,11.919,0.007
Auto_173,4324.39,3669.95,4324.50,3670.01,,,,,2813.0,28378.000,37647.418,254.812,147.75,-11.439,0.007,11.960,0.007
Auto_174,447.28,1557.53,447.31,1557.49,,,,,2733.0,27921.000,33949.781,248.390,136.68,-11.327,0.008,12.072,0.008
Auto_175,2443.81,1519.19,2443.92,1519.16,,,,,2316.0,27779.000,35298.234,250.377,140.98,-11.369,0.008,12.030,0.008
Auto_176,2566.77,1410.02,2566.67,1409.84,,,,,1977.0,27147.000,39261.774,257.430,152.51,-11.485,0.007,11.914,0.007
Auto_177,3728.82,1228.01,3728.88,1228.00,,,,,2313.0,26789.000,38309.196,257.139,148.98,-11.458,0.007,11.941,0.007
Auto_178,403.89,4154.98,403.86,4155.01,,,,,3283.0,26757.000,32131.722,244.415,131.46,-11.267,0.008,12.132,0.008
Auto_179,3346.92,3966.44,3346.98,3966.47,,,,,2638.0,26655.000,34242.618,248.647,137.72,-11.336,0.008,12.063,0.008
Auto_180,398.15,453.50,398.21,453.45,,,,,2562.0,26510.000,32025.306,245.027,130.70,-11.264,0.008,12.135,0.008
Auto_181,5401.13,1210.83,5401.31,1210.77,,,,,2375.0,26374.000,36328.269,254.108,142.96,-11.401,0.008,11.998,0.008
Auto_182,3302.54,54.84,3302.64,54.68,,,,,2174.0,26344.000,35264.593,251.328,140.31,-11.368,0.008,12.031,0.008
Auto_183,3265.07,3526.14,3265.13,3526.18,,,,,2618.0,25984.000,32887.950,246.497,133.42,-11.293,0.008,12.106,0.008
Auto_184,1195.37,3716.28,1195.33,3716.27,,,,,2792.0,25750.000,31342.735,243.890,128.51,-11.240,0.008,12.159,0.008
Auto_185,997.35,172.16,997.36,172.17,,,,,2542.0,25699.000,31712.387,244.232,129.85,-11.253,0.008,12.146,0.008
Auto_186,4089.71,3951.87,4089.82,3951.91,,,,,2317.0,25496.000,32228.765,245.921,131.05,-11.271,0.008,12.128,0.008
Auto_187,4852.21,1561.89,4852.41,1561.86,,,,,2273.0,25330.000,35016.814,251.375,139.30,-11.361,0.008,12.038,0.008
Auto_188,4024.88,266.21,4024.97,266.13,,,,,2054.0,25213.000,36383.412,254.062,143.21,-11.402,0.008,11.997,0.008
Auto_189,2129.23,2405.93,2129.29,2405.93,,,,,2491.0,24983.000,31281.040,242.924,128.77,-11.238,0.008,12.161,0.008
Auto_190,4245.87,3001.43,4246.01,3001.45,,,,,2161.0,24815.000,32918.359,246.789,133.39,-11.294,0.008,12.105,0.008
Auto_191,5989.93,3884.72,5990.06,3884.79,,,,,2206.0,24687.000,32438.829,247.933,130.84,-11.278,0.008,12.121,0.008
Auto_192,204.12,1300.62,204.10,1300.63,,,,,2625.0,24424.000,29557.331,240.706,122.79,-11.177,0.009,12.222,0.009
Auto_193,659.94,867.92,659.94,867.89,,,,,2655.0,24091.000,29186.468,240.280,121.47,-11.163,0.009,12.236,0.009
Auto_194,2167.46,2262.24,2167.51,2262.24,,,,,2213.0,23216.000,29932.113,241.289,124.05,-11.190,0.009,12.209,0.009
Auto_195,891.86,1253.20,891.89,1253.19,,,,,2355.0,23179.000,28088.048,238.603,117.72,-11.121,0.009,12.278,0.009
Auto_196,1189.48,2246.92,1189.45,2246.92,,,,,2378.0,23059.000,28218.609,237.934,118.60,-11.126,0.009,12.273,0.009
Auto_197,1593.85,2692.09,1593.87,2692.10,,,,,2470.0,22559.000,27283.594,237.126,115.06,-11.090,0.009,12.309,0.009
Auto_198,3283.14,3680.52,3283.20,3680.53,,,,,2222.0,22557.000,29388.886,240.695,122.10,-11.170,0.009,12.229,0.009
